Source,Target,Weight,Type
0,1,58,undirected
0,2,52,undirected
0,5,10,undirected
1,0,58,undirected
1,2,40,undirected
1,4,10,undirected
2,0,52,undirected
2,1,40,undirected
2,5,6,undirected
2,8,4,undirected
3,13,16,undirected
3,14,26,undirected
3,15,18,undirected
3,16,22,undirected
4,1,10,undirected
4,5,22,undirected
4,6,60,undirected
4,8,27,undirected
4,16,26,undirected
5,0,10,undirected
5,2,6,undirected
5,4,22,undirected
5,6,2,undirected
5,7,40,undirected
5,8,50,undirected
5,16,2,undirected
6,4,60,undirected
6,5,2,undirected
6,7,30,undirected
6,8,9,undirected
6,16,1,undirected
7,5,40,undirected
7,6,30,undirected
7,8,60,undirected
8,2,4,undirected
8,4,27,undirected
8,5,50,undirected
8,6,9,undirected
8,7,60,undirected
9,10,26,undirected
9,11,27,undirected
9,12,4,undirected
9,13,6,undirected
10,9,26,undirected
10,11,60,undirected
10,12,29,undirected
10,13,12,undirected
10,16,2,undirected
11,9,27,undirected
11,10,60,undirected
11,12,39,undirected
11,13,15,undirected
12,9,4,undirected
12,10,29,undirected
12,11,39,undirected
12,13,54,undirected
12,14,10,undirected
12,15,10,undirected
13,3,16,undirected
13,9,6,undirected
13,10,12,undirected
13,11,15,undirected
13,12,54,undirected
13,14,56,undirected
13,15,23,undirected
14,3,26,undirected
14,12,10,undirected
14,13,56,undirected
14,15,49,undirected
15,3,18,undirected
15,12,10,undirected
15,13,23,undirected
15,14,49,undirected
15,16,7,undirected
16,3,22,undirected
16,4,26,undirected
16,5,2,undirected
16,6,1,undirected
16,10,2,undirected
16,15,7,undirected
